Blog	used	down	side	read	number	maybe	find	business	question	post	feel	people	any	website	years	name	based	design	your	off	once	his	why	companies	too	makes	show	bit	said	hard	try	already	got	using	less	am	system	real	than	four	want	email	thought	sure	future	best	security	what	different	would	event	another	recent	line	if	good	world	running	problem	big	own	going	so	our	play	keep	do	him	head	hand	book	u	had	pretty	features	re	look	users	data	every	set	full	idea	before	just	us	site	reading	two	watch	night	google	though	bad	talk	thing	because	well	she	year	pay	m	told	old	products	yet	man	or	seems	didn	looking	public	questions	others	such	they	trying	each	far	social	way	last	open	building	stop	until	work	out	getting	took	least	now	october	technology	web	know	probably	did	company	small	around	home	appeared	most	here	these	making	help	internet	week	long	there	found	change	something	doing	through	been	blog	often	go	over	also	need	being	same	reports	government	check	my	facebook	after	ll	live	take	who	easy	everything	me	them	house	ve	simple	things	video	by	then	worked	think	he	even	love	however	ago	should	story	actually	will	few	called	back	much	little	while	says	their	not	times	still	team	money	isn	person	next	content	first	media	life	both	lot	could	use	make	put	news	done	report	tips	app	friday	end	anyone	whole	its	under	which	control	fast	almost	apple	say	place	five	large	into	where	get	her	twitter	matter	always	time	better	million	were	enough	latest	part	ask	several	case	between	really	start	decided	started	simply	family	game	many	according	morning	com	see	made	during	no	very	don	important	let	top	major	past	needs	some	value	together	does	when	group	known	great	day	months	continue	deal	may	like	might	other	since	away	without	today	right	ever	free	list	days	phone	month	went	never	those	d	only
ongoing by Tim Bray	0	1	0	3	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	3	0	0	4	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	2	7	0	0	0	0	0	0	5	5	1	0	0	0	0	0	3	0	1	0	0	7	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	1	4	3	0	0	0	2	0	4	1	2	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	3	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	4	0	1	0	1	0	2	1	0	0	1	0	2	0	0	0	27	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	2	0	1	0	1	1	0	0	1	0	1	0	1	0	3	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	6	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	6	0	1	1	0	0	1	4	0	0	0	1	0	0	3	5	1	0	0	0	5	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Eschaton	1	0	0	0	0	2	1	0	0	0	0	5	2	0	7	0	0	0	0	0	0	3	2	0	2	0	2	1	4	0	0	0	0	0	0	1	0	0	6	0	2	0	1	0	0	2	0	5	1	4	0	0	0	0	1	3	0	0	0	1	0	0	2	2	0	1	2	0	0	0	3	2	2	2	0	4	0	0	0	0	0	0	3	3	6	6	0	1	4	0	0	0	2	0	0	0	0	4	1	1	0	2	2	1	0	0	1	5	0	2	0	1	0	0	0	7	1	3	1	0	1	0	2	0	0	1	0	3	0	0	1	2	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	3	2	1	1	5	2	0	0	0	0	0	0	0	3	0	4	0	2	0	1	0	0	0	3	1	0	2	1	0	3	2	0	1	10	3	0	1	2	3	1	2	7	0	0	0	5	0	3	0	3	5	0	2	0	0	2	1	1	0	2	0	1	0	2	3	0	2	1	1	0	0	0	0	0	2	1	1	3	3	0	0	0	0	0	1	1	3	1	1	2	2	0	0	0	3	2	0	0	5	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	2	2	0	2	0	1	2	1	6	0	0	0	0	1	1	2	0	1	0	4	0	0	1	2	1	0	0	2	1	4	0	0	1	0	4	0	0	1	0	3	0	1	0	0	2	1	1
456 Berea Street	4	3	0	10	2	1	1	0	0	3	0	2	5	0	2	0	0	4	1	1	0	0	0	0	3	0	1	5	0	0	0	1	0	7	2	0	0	0	6	0	4	0	4	2	0	1	0	2	7	0	0	1	1	0	9	2	0	0	6	0	1	1	5	0	0	0	6	0	0	0	0	0	2	0	1	1	6	1	5	3	3	11	0	2	2	1	2	0	2	0	0	0	1	0	1	0	1	4	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	1	2	0	0	5	1	0	0	1	0	2	1	1	0	3	0	0	0	8	0	0	0	0	2	0	0	0	2	2	3	3	1	1	0	1	7	1	1	0	1	1	4	0	2	1	3	1	5	1	2	0	0	0	0	0	2	0	0	1	1	2	0	2	3	0	5	0	1	0	8	1	0	3	1	4	0	3	2	0	0	1	5	1	0	1	1	0	2	0	3	4	1	0	0	0	4	0	0	3	0	0	0	1	1	1	9	5	1	1	1	2	0	0	0	0	1	0	8	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	3	0	0	0	3	1	0	2	0	1	1	0	3	0	0	2	0	0	0	4	1	0	0	4	0	0	4	1	1	1	0	2	0	0	2	5	2	0	0	7	0	0	0	0	0	0	0	5	2	0	0	4	0	0	0	0	2	0	1	1	0	0	0	1	1	4	1
Engadget RSS Feed	1	0	0	4	0	0	1	0	0	2	0	2	1	0	1	1	1	1	5	2	1	0	1	0	1	0	3	0	2	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	2	2	4	0	0	2	0	0	1	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	1	0	0	0	2	1	3	0	0	0	0	1	4	3	0	1	1	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	3	0	1	0	4	2	3	2	1	2	0	8	0	0	0	0	2	0	1	1	0	0	1	2	2	0	0	0	2	0	3	2	0	0	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	2	0	3	0	1	2	2	0	0	2	1	0	0	1	1	0	0	2	1	0	1	2	3	0	3	1	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	3	1	3	0	1	0	1	0	2	0	0	0	0	10	0	1	0	0	1	3	1	0	0	1	1	0	2	0	0	0	0	3	0	2	0	0	2	1	0	1	2	0	1	1	0	1	0	0	1	0	8	0	0	0	0	1	1	1	0	0	0	0	0	1	0	6	0	0	2	3	1	0	0	0	0	0	0	2	1	2	2	0	0	0	3	0	1	0	0	0	0	0	0	0	1	3	0
43 Folders	6	9	4	38	9	14	10	8	3	2	7	54	37	1	16	3	2	10	82	13	4	28	32	2	14	5	4	7	14	16	18	13	2	8	16	14	4	19	35	5	26	11	10	10	7	14	0	73	7	20	4	10	2	3	59	26	13	3	15	25	13	7	75	35	6	10	74	12	1	3	25	0	26	11	2	48	5	3	3	12	3	7	6	12	70	21	2	12	10	6	5	2	2	6	21	32	57	24	29	14	3	47	6	10	0	6	7	105	2	8	2	1	0	4	6	48	10	13	7	1	36	13	4	3	10	15	58	44	11	2	11	39	3	3	10	40	8	13	2	2	10	6	0	41	28	24	11	30	3	11	21	33	1	13	23	16	7	31	5	19	21	29	27	21	17	9	0	0	2	186	1	10	36	7	10	70	5	12	81	21	2	40	7	55	11	101	25	5	31	39	50	15	1	3	16	6	14	53	13	3	23	37	28	10	13	19	120	3	20	2	5	0	8	3	1	29	2	32	8	39	24	11	45	3	1	10	0	5	8	2	7	14	4	9	20	45	3	2	13	1	21	7	4	3	21	20	50	17	4	8	20	45	27	0	16	15	0	16	9	2	3	3	77	11	18	2	11	4	2	20	0	7	17	17	28	2	36	29	46	13	16	2	4	8	3	28	3	3	5	30	0	2	14	16	4	4	2	15	68	16	23	5	7	12	13	24	25	8	3	7	1	2	2	26	27	45	22
The Huffington Post | The Full Feed	29	2	5	2	4	0	2	1	5	64	0	27	8	25	9	1	5	6	36	14	3	37	5	1	4	1	7	5	53	6	3	5	3	2	8	3	10	2	17	0	12	1	8	2	2	3	17	29	7	25	2	13	1	3	29	8	21	3	2	7	7	6	33	49	6	2	18	12	3	3	4	4	27	2	0	13	5	0	2	8	1	28	3	11	16	12	9	0	11	3	4	0	5	2	27	4	12	10	6	15	2	9	11	11	0	4	10	33	2	4	3	7	5	3	6	39	3	4	7	22	12	6	1	4	5	3	11	24	2	3	6	10	7	2	1	7	0	7	4	5	8	3	5	20	10	13	1	5	2	4	13	29	3	7	6	2	7	29	3	2	5	6	20	6	11	7	5	22	2	16	2	10	3	6	14	38	2	1	14	7	3	2	4	8	16	56	8	2	18	48	19	1	2	3	9	4	1	33	3	8	7	6	6	10	6	28	69	4	11	1	18	1	1	6	0	14	5	6	5	5	13	28	15	8	10	5	2	0	0	4	8	5	2	55	7	27	1	1	5	1	7	6	3	5	12	16	7	8	3	7	3	15	6	15	30	3	5	6	4	2	4	6	8	6	1	5	3	2	6	21	8	0	6	6	0	3	19	17	9	6	7	8	2	2	3	15	2	10	7	18	13	2	12	8	2	3	0	56	27	9	22	17	3	5	6	14	3	6	8	3	2	8	2	7	18	5	17
Google Blogoscoped	2	1	1	2	4	1	2	0	4	2	1	3	3	1	0	2	1	1	7	0	1	1	0	0	2	1	1	0	2	0	0	1	0	4	1	1	0	0	1	0	2	0	0	0	1	4	0	5	2	10	0	2	0	0	8	0	3	0	0	0	0	2	7	3	0	0	3	0	0	1	0	0	3	0	0	5	1	0	0	1	1	2	1	0	6	1	4	1	3	0	0	40	3	0	0	1	5	2	0	0	0	2	0	0	0	1	0	5	0	0	0	0	2	1	0	7	0	3	0	0	1	0	2	0	0	0	1	2	0	1	0	4	1	1	5	2	2	1	0	1	2	1	0	2	2	1	0	0	0	0	1	5	0	1	2	1	1	3	1	1	1	1	2	2	0	1	0	0	0	5	0	0	6	1	1	5	1	0	4	4	0	3	1	1	0	4	3	0	0	2	4	2	0	0	0	0	2	1	1	1	2	4	0	1	1	4	5	1	0	0	0	1	0	1	0	2	0	0	2	0	1	3	3	1	1	0	0	0	3	0	0	1	0	1	0	4	0	1	0	0	0	2	3	0	3	1	4	0	0	1	2	4	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	3	2	0	6	1	4	0	2	1	0	2	0	3	0	1	0	4	7	0	0	3	0	0	0	1	5	0	4	0	0	0	1	1	0	2	1	0	3	0	1	1	3	2	2
mezzoblue	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	2	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	2	0	1	0	0	1	0	3	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	2	0	5	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	1	0
Quick Online Tips	0	0	0	8	0	0	1	0	0	0	0	1	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	1	0	2	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
The Viral Garden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	3	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	0	1	0	0	0	0	2	1	1	2	1	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	1	15	0	1	1	0	1	1	0	0	0	2	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	6	1	0	0	0	1	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	3	0	4	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mashable	2	1	2	30	2	0	0	0	1	2	0	1	0	2	0	1	3	2	2	3	2	23	3	0	1	0	6	1	9	1	0	2	0	2	2	4	0	1	5	1	1	0	2	1	1	4	1	3	0	4	2	3	0	2	4	2	15	0	0	4	4	0	4	5	3	0	0	6	0	1	0	4	7	0	2	4	5	0	0	0	7	0	1	3	4	14	1	0	2	2	11	0	0	0	0	0	0	2	3	3	2	2	2	1	2	1	4	6	0	3	2	0	1	0	2	8	3	2	1	4	3	5	2	0	0	1	4	8	0	7	1	2	5	0	0	2	0	3	0	0	5	0	0	5	2	5	0	3	0	9	0	3	0	1	2	0	2	2	0	2	4	4	25	1	4	2	2	6	1	4	1	7	2	7	5	17	0	2	0	0	0	1	0	1	2	25	2	0	1	14	2	0	2	0	3	2	2	7	2	2	4	2	5	3	2	6	7	2	3	0	0	0	1	0	0	9	4	6	6	0	3	1	1	1	9	0	2	0	0	4	0	0	0	4	0	7	0	1	0	4	0	2	4	0	3	5	2	8	5	0	0	5	1	5	5	2	1	0	0	4	3	1	1	1	3	0	0	0	3	2	3	2	2	15	5	4	5	2	1	0	0	1	1	0	0	2	0	1	1	7	2	2	1	3	0	0	0	1	9	3	3	3	2	1	0	1	0	0	2	0	0	2	1	0	3	4	2
Autoblog	1	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	3	8	0	1	0	0	3	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	39	0	1	2	2	0	1	0	4	0	0	0	3	3	3	1	0	0	1	3	0	0	40	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	2	4	0	1	0	1	0	39	1	0	0	2	0	2	0	0	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	2	0	2	0	0	0	1	3	0	3	0	39	3	0	1	0	3	0	3	1	0	1	2	1	0	0	1	0	0	1	5	0	0	0	0	2	5	1	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	17	5	2	0	1	1	0	3	0	0	0	0	0	3	0	1	3	3	0	2	3	5	0	0	2	1	0	0	0	0	0	7	0	3	0	1	7	39	4	2	5	0	0	0	0	0	2	0	2	12	39	0	0	1	0	0	0	0	1	0	4	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	41	1	0	2	0	0	0	0	3	0	0	4	4	1	0	0	2	2	0	0	1	0	39	0	2	1	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1
Lifehack	0	0	0	0	1	0	2	0	0	20	1	9	0	0	0	0	1	0	11	0	0	0	2	0	0	1	0	0	0	2	2	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	4	2	2	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	1	0	2	0	6	0	0	0	0	2	3	20	2	0	2	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	1	4	0	2	1	0	0	1	0	0	0	4	0	0	1	0	2	0	5	2	1	0	1	0	0	3	1	0	1	0	1	0	0	1	4	0	0	0	0	0	2	0	0	21	0	4	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	0	0	2	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	4	0	6	0	1	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	5	1	2	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	1
Gizmodo	0	0	0	21	1	0	1	0	0	1	1	0	0	0	1	0	0	0	6	2	0	2	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	4	0	0	0	0	0	1	2	0	2	0	1	0	1	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	1	2	0	2	1	0	1	4	0	0	0	0	1	4	0	0	1	0	0	1	0	1	0	1	2	1	0	0	1	1	0	0	1	0	0	5	0	0	1	0	0	0	0	2	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	3	1	2	0	0	0	1	2	0	0	0	0	2	3	1	0	1	2	2	0	1	1	1	1	0	0	5	0	0	0	2	1	0	0	0	0	0	0	0	1	1	2	0	0	2	0	1	0	0	0	2	0	1	0	1	0	1	1	1	2	0	0	0	0	0	0	1	1	0	2	1	1	0	0	1	5	0	0	1	0	1	1	1	0	1	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	1	0	1	0	2	0	2	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1	1	1	0	0	0	0	0	0	0	3	0	0	0	2	0	1	2	1	0	0	2	3	5	2	0	1	0	0	2	0	3	0	0	0	0	0	0	1	0	0	2
A Consuming Experience (full feed)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steve Pavlina's Personal Development Blog	0	0	0	10	0	0	2	0	4	1	2	7	0	0	1	0	0	0	9	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	2	0	4	1	2	0	0	2	0	3	1	1	0	0	0	1	1	2	1	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	4	1	4	1	0	0	0	0	3	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	1	0	1	4	2	0	0	0	1	1	3	11	0	1	0	1	0	2	0	0	0	0	4	2	1	4	1	1	1	1	0	3	1	0	1	2	0	0	4	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	1	2	0	2	1	4	0	0	1	3	4	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	1	1	1	0	0	0	0	0	0	2	1	0	0	1	0	0	1	1	0	3	0	0	0	2	0	0	0	0	0	1	0	0	1	0	4	0	1	0	1	0	0	1	0	1	0	3	0	1	1	0	3	0	0	0	2	0	0	1	3	0	0	0	0	2	0	1	4	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1
PaulStamatiou.com - Technology, Design and Photography	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Dish	0	1	0	7	1	1	2	0	2	4	0	5	1	0	10	0	0	0	10	0	0	11	1	0	1	0	0	0	4	1	0	0	0	0	1	2	1	1	4	0	1	2	2	0	0	0	0	9	1	1	0	2	1	0	2	0	6	0	1	2	1	2	6	2	0	1	2	0	1	0	2	3	4	0	0	2	3	0	0	1	0	0	3	1	4	3	2	3	1	0	0	0	1	1	2	1	1	1	1	3	0	1	1	3	0	1	1	3	0	3	2	1	1	1	0	8	0	0	0	0	0	3	2	0	0	0	3	3	0	1	2	2	0	0	0	5	2	2	0	0	3	1	0	5	2	5	0	0	1	1	5	3	1	0	0	1	4	6	6	2	3	3	0	0	0	2	0	0	0	16	0	2	3	1	1	5	0	0	11	0	2	3	2	3	0	12	7	0	1	3	3	7	1	2	2	2	0	4	0	0	3	2	2	0	0	7	6	1	2	0	1	1	1	1	2	4	0	1	0	0	1	1	2	0	2	0	0	0	0	0	3	2	0	0	2	2	0	0	1	0	1	1	1	0	1	0	2	1	0	0	1	6	2	1	1	1	1	3	0	0	1	1	0	0	0	1	0	0	0	3	2	2	1	0	2	2	6	1	4	0	0	0	0	3	0	1	0	0	0	5	0	1	0	2	0	1	0	1	0	1	2	2	0	2	1	0	0	0	0	0	0	0	1	2	1	1	3
Go Fug Yourself	0	1	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	11	3	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	1	11	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	10
